price,rent,Apartement
3000.0,rent,store
2500.0,rent,store
2400.0,rent,store
4000.0,rent,store
3900.0,rent,house
4500.0,rent,apartment
3500.0,rent,apartment
3500.0,rent,apartment
2700.0,rent,apartment
4000.0,rent,apartment
6000.0,rent,house
4200.0,rent,PH
2500.0,rent,PH
3000.0,rent,apartment
2000.0,rent,house
3100.0,rent,apartment
4000.0,rent,apartment
6000.0,rent,house
3200.0,rent,apartment
2800.0,rent,apartment
2500.0,rent,apartment
2600.0,rent,apartment
2000.0,rent,apartment
2700.0,rent,apartment
2200.0,rent,PH
1500.0,rent,store
2700.0,rent,apartment
2800.0,rent,store
4500.0,rent,apartment
2500.0,rent,apartment
3800.0,rent,apartment
2500.0,rent,store
900.0,rent,store
8500.0,rent,store
9000.0,rent,store
1400.0,rent,store
9000.0,rent,store
2800.0,rent,apartment
13000.0,rent,store
4000.0,rent,store
7000.0,rent,store
8000.0,rent,apartment
18000.0,rent,store
3500.0,rent,store
3400.0,rent,apartment
2500.0,rent,apartment
25000.0,rent,store
2800.0,rent,store
20000.0,rent,store
2500.0,rent,apartment
3000.0,rent,apartment
14000.0,rent,store
2500.0,rent,apartment
2700.0,rent,apartment
12000.0,rent,store
11000.0,rent,store
4200.0,rent,PH
16000.0,rent,store
5500.0,rent,house
4200.0,rent,house
3200.0,rent,house
450.0,rent,apartment
4000.0,rent,apartment
35000.0,rent,house
27500.0,rent,house
21000.0,rent,apartment
85000.0,rent,house
17000.0,rent,house
130000.0,rent,house
65000.0,rent,house
60000.0,rent,house
4500.0,rent,apartment
37000.0,rent,house
95000.0,rent,house
65000.0,rent,house
50000.0,rent,house
20000.0,rent,house
71000.0,rent,house
87000.0,rent,house
13000.0,rent,apartment
48500.0,rent,house
35000.0,rent,house
11000.0,rent,apartment
50000.0,rent,house
28000.0,rent,house
4200.0,rent,house
60000.0,rent,house
17500.0,rent,house
44000.0,rent,house
27500.0,rent,house
45000.0,rent,house
21000.0,rent,house
145000.0,rent,house
23000.0,rent,house
35000.0,rent,house
35000.0,rent,house
13000.0,rent,apartment
110000.0,rent,house
10500.0,rent,apartment
7000.0,rent,apartment
50000.0,rent,house
650.0,rent,apartment
25000.0,rent,house
15000.0,rent,apartment
50000.0,rent,house
3400.0,rent,apartment
18000.0,rent,house
25000.0,rent,house
35000.0,rent,house
18000.0,rent,house
95000.0,rent,house
4000.0,rent,PH
4500.0,rent,PH
1500.0,rent,apartment
2400.0,rent,apartment
5000.0,rent,house
3200.0,rent,apartment
27000.0,rent,store
3000.0,rent,apartment
5000.0,rent,store
2700.0,rent,store
6000.0,rent,apartment
19000.0,rent,store
70000.0,rent,store
45000.0,rent,store
10000.0,rent,store
5000.0,rent,store
45000.0,rent,store
150000.0,rent,store
55000.0,rent,store
38000.0,rent,store
65000.0,rent,store
25000.0,rent,store
40000.0,rent,store
19000.0,rent,store
44000.0,rent,store
38000.0,rent,store
32000.0,rent,store
1850.0,rent,apartment
5400.0,rent,apartment
4200.0,rent,apartment
4900.0,rent,apartment
50000.0,rent,house
14500.0,rent,store
45000.0,rent,house
14500.0,rent,house
3500.0,rent,apartment
2900.0,rent,apartment
5500.0,rent,house
4500.0,rent,apartment
2800.0,rent,apartment
3500.0,rent,store
4600.0,rent,house
3000.0,rent,apartment
4500.0,rent,store
5000.0,rent,apartment
9000.0,rent,store
2600.0,rent,apartment
12000.0,rent,apartment
12000.0,rent,apartment
11000.0,rent,house
501.0,rent,apartment
550.0,rent,apartment
70000.0,rent,house
50000.0,rent,house
50000.0,rent,house
60000.0,rent,house
10500.0,rent,apartment
9000.0,rent,house
20800.0,rent,house
20000.0,rent,apartment
47000.0,rent,house
28000.0,rent,apartment
450.0,rent,house
1800.0,rent,house
75000.0,rent,store
25000.0,rent,house
55000.0,rent,house
10000.0,rent,house
40000.0,rent,house
43000.0,rent,apartment
27000.0,rent,apartment
28800.0,rent,apartment
39000.0,rent,house
1111.0,rent,apartment
